,Morph,POS
,Morph,POS
0.0,antonses,ADV
1.0,chi,INC
2.0,b'an,VT
3.0,ik,SC
4.0,t,INC
5.0,an,E1S
6.0,b'ij,VI
7.0,iin,PRON
8.0,jilon,AFI
9.0,li,DEM
10.0,ti,INC
11.0,j,E3S
12.0,b'ij,VI
13.0,taq,PL
14.0,qa,E1P
15.0,qaaj,S
16.0,qa,E1P
17.0,chuuch,S
18.0,pwes,ADV
19.0,ti,INC
20.0,entoos,ADV
21.0,qa,E1P
22.0,qaaj,S
23.0,qa,E1P
24.0,chuuch,S
25.0,t,INC
26.0,in,E1S
27.0,b'ij,VI
28.0,iin,PRON
29.0,qa,E1P
30.0,qaaj,S
31.0,qa,E1P
32.0,chuuch,S
33.0,ti,INC
34.0,j,E3S
35.0,b'ij,VI
36.0,taq,PL
37.0,qa,E1P
38.0,maam,S
39.0,q,E1P
40.0,et',S
41.0,ójor,ADV
42.0,ójor,ADV
43.0,taq,PL
44.0,tziij,S
45.0,li,DEM
46.0,ójor,ADV
47.0,cha',VI
48.0,kon,PREP
49.0,gaan,S
50.0,chee',S
51.0,kon,PREP
52.0,gaan,S
53.0,sii',S
54.0,ri',AFI
55.0,li,DEM
56.0,ti,INC
57.0,j,E3S
58.0,b'ij,VI
59.0,taq,PL
60.0,kon,PREP
61.0,gaan,S
62.0,sii',S
63.0,kon,PREP
64.0,gaan,S
65.0,chee',S
66.0,naqaaj,ADV
67.0,nimaq,ADJ
68.0,taq,PL
69.0,chee',S
70.0,entoons,ADV
71.0,ri',AFI
72.0,li,DEM
73.0,ti,INC
74.0,j,E3S
75.0,b'ij,VI
76.0,taq,PL
77.0,entoons,ADV
78.0,kwand,ADV
79.0,wi',EXS
80.0,chee',S
81.0,cha',VI
82.0,t,INC
83.0,pet,VI
84.0,i',ENF
85.0,jaab',S
86.0,cha',VI
87.0,kwaand,ADV
88.0,wi',EXS
89.0,ta',NEG
91.0,pores,ADV
92.0,ti,INC
93.0,j,E3S
94.0,b'ij,VI
95.0,taq,PL
96.0,li,DEM
97.0,ójor,ADV
98.0,taq,PL
99.0,tziij,S
100.0,kwand,ADV
101.0,ooj,PRON
102.0,x,COM
103.0,oj,A1P
104.0,k'iy,VI
105.0,ik,SC
106.0,oj,A1P
107.0,b'en,VI
108.0,aa,PART
109.0,li,PREP
110.0,sii',S
111.0,at,A2S
112.0,b'i',DIR
113.0,tqa',PL
114.0,li,PREP
115.0,sii',S
116.0,jat,VI
117.0,aq,PL
118.0,li,PREP
119.0,sii',S
120.0,peer,ADV
121.0,m,IMP
122.0,a,E2S
123.0,kat,VT
124.0,aq,PL
125.0,maq,ART
126.0,ra,DIM
127.0,chee',S
128.0,porke,ADV
129.0,maq,ART
130.0,ra,DIM
131.0,chee',S
132.0,nim,ADJ
133.0,i',ENF
134.0,j,E3S
135.0,q'iij,S
136.0,ma,IMP
137.0,kach',VT
138.0,taq,PL
139.0,j,E3S
140.0,wiich,S
141.0,taq,PL
142.0,ra,DIM
143.0,chee',S
144.0,ta',NEG
145.0,t',INC
146.0,el,VI
147.0,aw,E2S
148.0,anim,S
149.0,at,A2S
150.0,kam,VI
151.0,k,SC
152.0,cha',VI
153.0,taq,PL
154.0,entoons,ADV
155.0,ri',AFI
156.0,li,DEM
157.0,entoons,ADV
158.0,ri',AFI
159.0,nim,ADJ
160.0,aq,PL
161.0,taq,PL
162.0,chee',S
163.0,entoons,ADV
164.0,maa,IMP
165.0,b'an,VT
166.0,sáj,PAS
167.0,k'ex,ADJ
168.0,re,PART
169.0,chee',S
170.0,porke,ADV
171.0,chee',S
172.0,re,PRON
173.0,nim,ADJ
174.0,i',ENF
175.0,j,E3S
176.0,q'iij,S
177.0,nim,ADJ
178.0,i',ENF
179.0,j,E3S
180.0,pe,VI
181.0,iik,SC
182.0,cha',VI
183.0,taq,PL
184.0,chee',S
185.0,ma,IMP
186.0,r,E3S
187.0,ech,SREL
188.0,t,PL
189.0,qe,PART
190.0,ma,IMP
191.0,r,E3S
192.0,ech,SREL
193.0,t,PL
194.0,qe,PART
195.0,jun,NUM
196.0,ma,IMP
197.0,r,E3S
198.0,ech,SREL
199.0,t,PL
200.0,qe,PART
201.0,kib',NUM
202.0,uxub',NUM
203.0,q'iij,S
204.0,j,E3S
205.0,wiich,S
206.0,noke,ADV
207.0,nim,ADJ
208.0,i',ENF
209.0,j,E3S
210.0,q'iij,S
211.0,cha',VI
212.0,taq,PL
213.0,ri,AFI
214.0,re,E3S
215.0,re,PART
216.0,t,INC
217.0,j,E3S
218.0,ye',VT
219.0,si',S
220.0,ti,INC
221.0,j,E3S
222.0,ya',VT
223.0,teew,S
224.0,cha',VI
225.0,taq,PL
226.0,ti,INC
227.0,j,E3S
228.0,ya',VT
229.0,teew,S
230.0,teew,S
231.0,r,E3S
232.0,ech,SR
233.0,ta,INC
234.0,qa,E1P
235.0,jik,VT
236.0,q,E1P
237.0,úxb',S
238.0,lamaas,ADV
239.0,ta',NEG
240.0,t,INC
241.0,pe,VI
242.0,w,PART
243.0,teew,S
244.0,noke,ADV
245.0,miim,ADV
246.0,j,E3S
247.0,wi'l,SREL
248.0,i',ENF
249.0,chee',S
250.0,entoons,ADV
251.0,ri',AFI
252.0,li,DEM
253.0,ti,INC
254.0,j,E3S
255.0,b'ij,VI
256.0,taq,PL
257.0,qa,E1P
258.0,maam,S
259.0,q,E1P
260.0,et',S
261.0,ooj,PRON
262.0,ójor,ADV
263.0,taq,PL
264.0,tziij,S
265.0,entoons,ADV
266.0,pwees,ADV
267.0,m,IMP
